Designator,Mid X,Mid Y,Rotation,Layer
C1,200.420589,-118.159411,45.0,top
C10,198.41,-116.5,90.0,top
C11,199.669811,-117.044952,68.0,top
C12,201.34,-116.53,0.0,top
C13,194.89,-103.87,90.0,top
C14,190.46,-103.41,90.0,top
C15,197.44,-129.71,90.0,top
C16,192.07,-129.29,90.0,top
C17,194.54,-113.23,0.0,top
C18,201.64,-126.09,180.0,top
C2,201.42,-119.67,0.0,top
C3,201.33,-120.64,0.0,top
C4,190.6,-120.52,180.0,top
C5,190.0,-121.5,180.0,top
C6,190.57,-123.48,180.0,top
C7,189.94,-122.45,180.0,top
C8,201.33,-121.78,0.0,top
C9,201.35,-122.77,0.0,top
D1,191.0375,-133.96,0.0,top
J1,196.07,-93.94,180.0,top
J2,186.89,-117.225,180.0,top
J3,204.44,-117.215,180.0,top
J4,195.55,-141.105,90.0,top
R1,197.54,-100.2,270.0,top
R10,194.91,-132.69,180.0,top
R11,200.94,-131.5,180.0,top
R2,195.0,-100.17,270.0,top
R3,196.36,-116.5,270.0,top
R4,197.39,-116.4925,270.0,top
R5,196.95,-127.23,0.0,top
R6,190.95,-118.9,90.0,top
R7,190.93,-112.53,90.0,top
R8,200.19,-127.92,180.0,top
SW1,191.79,-108.55,270.0,top
SW2,199.7,-136.64,0.0,top
SW3,194.03,-136.5,180.0,top
U1,195.7225,-122.38,90.0,top
U2,192.74,-102.0325,270.0,top
U3,192.52,-115.04,0.0,top
Y1,194.79,-129.51,0.0,top
